full_date,date,weekday,time,mood,activities,note
14/03/2019,14-Mar,Thursday,21:04,rad,travel,"saw some maori history, volcanic stuff"
14/03/2019,14-Mar,Thursday,14:25,rad,travel | hiking | coffee,
14/03/2019,14-Mar,Thursday,9:00,meh,,tired
13/03/2019,13-Mar,Wednesday,8:00,good,reading | travel,"tired, going to nz"
12/03/2019,12-Mar,Tuesday,18:00,good,,
12/03/2019,12-Mar,Tuesday,14:17,meh,work,
12/03/2019,12-Mar,Tuesday,7:29,good,reading,
11/03/2019,11-Mar,Monday,21:00,good,,
11/03/2019,11-Mar,Monday,13:30,bad,work,
11/03/2019,11-Mar,Monday,8:00,good,reading,
10/03/2019,10-Mar,Sunday,21:01,rad,relax | friends | running | reading | gaming | read news,
10/03/2019,10-Mar,Sunday,9:41,meh,reading | gaming | cleaning | cooking,tired
9/03/2019,9-Mar,Saturday,20:32,good,reading | gaming | travel,"tired, saw simones fams"
9/03/2019,9-Mar,Saturday,8:35,good,reading | gaming,tired
8/03/2019,8-Mar,Friday,23:57,good,work | relax | reading | gaming | procrastinating,
8/03/2019,8-Mar,Friday,10:06,good,work | reading | gaming | programming,
7/03/2019,7-Mar,Thursday,21:27,good,work | gaming | good meal | cycling | cooking | herpes | read news,
7/03/2019,7-Mar,Thursday,8:47,meh,work | gaming | cycling | herpes | read news,stressed
6/03/2019,6-Mar,Wednesday,22:06,good,work | gaming | herpes,stressed! finished witcher 3
6/03/2019,6-Mar,Wednesday,10:06,meh,work | gaming | herpes,
5/03/2019,5-Mar,Tuesday,21:01,good,gaming | good meal | cycling | cooking | herpes,
